type,artist,title,url,current_price,original_price,release_date
"track","Pino Peña","RUN","https://glukkon.bandcamp.com/track/run","","",""
"track","Kitkatone","Still Here","https://glukkon.bandcamp.com/track/still-here","","",""
"track","Ketch","Space Funk","https://glukkon.bandcamp.com/track/space-funk","","",""
"album","Eduard Szilagyi","","https://glukkon.bandcamp.com/album/erase","","",""
"track","Ketch","Black Blood","https://ketchmusik.bandcamp.com/track/black-blood","","",""
"track","Ketch","Snitch","https://ketchmusik.bandcamp.com/track/snitch","","",""
"track","Ketch","Shapeshifter","https://ketchmusik.bandcamp.com/track/shapeshifter","","",""
"track","Ketch","Prison Tats","https://ketchmusik.bandcamp.com/track/prison-tats","","",""
"track","Alabama Shakes","This Feeling","https://alabamashakes.bandcamp.com/track/this-feeling-2","","",""
"album","Glo.bal","","https://weareglo-bal.bandcamp.com/album/von-riu-earresistible","","",""
"track","Magnetrixx","Magnetrixx - Yttrium","https://ap-digits.bandcamp.com/track/magnetrixx-yttrium","","",""
"track","Magnetrixx","Magnetrixx - Singularity","https://ap-digits.bandcamp.com/track/magnetrixx-singularity","","",""
"track","Magnetrixx","Magnetrixx - Neutrino","https://ap-digits.bandcamp.com/track/magnetrixx-neutrino","","",""
"track","Magnetrixx","Magnetrixx - Phorese","https://ap-digits.bandcamp.com/track/magnetrixx-phorese","","",""
"track","Magnetrixx","Magnetrixx - Knopfzelle","https://ap-digits.bandcamp.com/track/magnetrixx-knopfzelle","","",""
"track","LATE","Circles","https://amekcollective.bandcamp.com/track/circles","","",""
"track","LATE","The Need","https://amekcollective.bandcamp.com/track/the-need","","",""
"track","deadmau5","Trepid","https://playrecords.bandcamp.com/track/trepid","","",""
"track","OK EG","Open Sky","https://okegmusic.bandcamp.com/track/open-sky","","",""
"track","Jonas Xenon & Mython","Blossom (Original Mix)","https://headlightrecordings.bandcamp.com/track/blossom-original-mix","","",""
"track","Jonas Xenon","Misanthrop (Original Mix)","https://headlightrecordings.bandcamp.com/track/misanthrop-original-mix","","",""
"album","Vision & Canedy","","https://hadshothaheizar.bandcamp.com/album/another-life","","",""
"track","R-010","Rayuela","https://cabrera-rec.bandcamp.com/track/rayuela","","",""
"track","Perfo","Perfo - Just A Clap Story","https://illegalalienrecords.bandcamp.com/track/perfo-just-a-clap-story","","",""
"track","Concussion","Hang","https://cnc-concussion.bandcamp.com/track/hang","","",""
"album","Spectdrum","","https://abyssrecords.bandcamp.com/album/experience","","",""
"track","Boy Berger","Data Flex","https://bobbydonny-aceseries.bandcamp.com/track/data-flex","","",""
"album","Piotr Figiel","","https://piotrfigiel.bandcamp.com/album/black-and-white-memories-of-the-color-tv-era","","",""
"track","Neptune Discs","Cosmic G - Intergalactic Truster (Tifra Remix)","https://neptunediscs.bandcamp.com/track/cosmic-g-intergalactic-truster-tifra-remix","","",""
"album","TrashHead","","https://odkleia.bandcamp.com/album/sleepwalker","","",""
"track","Paradise 3001","Several Huge Yellow Snaplike Somethings","https://paradise3001.bandcamp.com/track/several-huge-yellow-snaplike-somethings","","",""
"track","Tony Romera","2009 (Extended Mix)","https://toolroom.bandcamp.com/track/2009-extended-mix","","",""
"album","Big Trouble Records","","https://bigtroublerecords.bandcamp.com/album/matt-littman-good-the-bad","","",""
"album","Ruffhouse","","https://ingredientsrecords.bandcamp.com/album/strangers-the-domino-effect","","",""
"album","Diffuse Reality Records","","https://diffusereality.bandcamp.com/album/silhouette-nuclear-autumn","","",""
"track","nueen","4U","https://nueen.bandcamp.com/track/4u","","",""
"track","VSK","It could be the end","https://warmuprecordings.bandcamp.com/track/it-could-be-the-end","","",""
"album","Alien D","","https://kulturegalerie.bandcamp.com/album/mediterranean-blue","","",""
"album","Anthony Linell","","https://northernelectronics.bandcamp.com/album/in-the-place-of-harmony","","",""
"track","SND & RTN","Shadow Realm","https://planetrhythm.bandcamp.com/track/shadow-realm","","",""
"track","SND & RTN","Vortex","https://planetrhythm.bandcamp.com/track/vortex","","",""
"album","Djalo","","https://tustancecorp.bandcamp.com/album/interact","","",""
"album","Aris Kindt","","https://quiettimetapes.bandcamp.com/album/now-claims-my-timid-heart","","",""
"album","Joshua Collins","","https://joshuacollins.bandcamp.com/album/phonosynthesis-ep","","",""
"album","Fluid Matter","","https://virtualforestrecords.bandcamp.com/album/soap","","",""
"album","Paul Rêve","","https://virtualforestrecords.bandcamp.com/album/avatars-of-lingmus","","",""
"album","RM Estali","","https://virtualforestrecords.bandcamp.com/album/dynamic-slicing","","",""
"album","Solma","","https://virtualforestrecords.bandcamp.com/album/mindless-being","","",""
"track","Fluid Matter","Looping Thoughts (Qant Remix)","https://virtualforestrecords.bandcamp.com/track/looping-thoughts-qant-remix","","",""
"album","Slag Boom Van Loon","","https://speedyj.bandcamp.com/album/slag-boom-van-loon","","",""
"album","Speedy J","","https://speedyj.bandcamp.com/album/red-shift-ep","","",""
"track","Zeitgeber","Closely Related","https://speedyj.bandcamp.com/track/closely-related","","",""
"track","Slag Boom Van Loon","Sutedja (Four Tet Remix)","https://speedyj.bandcamp.com/track/sutedja-four-tet-remix","","",""
"track","Chris Liebing & Speedy J","Acid Trezcore (2025 Remaster)","https://speedyj.bandcamp.com/track/acid-trezcore-2025-remaster","","",""
"track","Chris Liebing & Speedy J","Galude","https://speedyj.bandcamp.com/track/galude","","",""
"track","Speedy J","Tesla","https://speedyj.bandcamp.com/track/tesla","","",""
"track","Speedy J","Fill 17","https://speedyj.bandcamp.com/track/fill-17","","",""
"track","Speedy J","Fill 14","https://speedyj.bandcamp.com/track/fill-14","","",""
"track","Speedy J","Fill 4","https://speedyj.bandcamp.com/track/fill-4","","",""
"track","The Melody","I Want Your Love","https://speedyj.bandcamp.com/track/i-want-your-love","","",""
"track","Various Artists","Vanda Forte - I'm testing you","https://tustancecorp.bandcamp.com/track/vanda-forte-im-testing-you","","",""
"track","EXTRA ENERGY","Pernox - Scene Stealer","https://extraenergy.bandcamp.com/track/pernox-scene-stealer","","",""
"album","Pernox","","https://lostinperception.bandcamp.com/album/cruel-intentions-ep","","",""
"track","Der Dritte Raum","Slapstick","https://derdritteraum.bandcamp.com/track/slapstick","","",""
"track","Der Dritte Raum","Vier Megahertz","https://derdritteraum.bandcamp.com/track/vier-megahertz","","",""
"track","Der Dritte Raum","Unterwasser","https://derdritteraum.bandcamp.com/track/unterwasser-2","","",""
"track","Der Dritte Raum","Raupe","https://derdritteraum.bandcamp.com/track/raupe-2","","",""
"track","Koliseum","Gem","https://evaporatezf.bandcamp.com/track/gem","","",""
"track","Thomas Hem","Kantru","https://evaporatezf.bandcamp.com/track/kantru","","",""
"track","Andy Peimbert","Shalashaska","https://evaporatezf.bandcamp.com/track/shalashaska-2","","",""
"track","Koliseum","Step","https://evaporatezf.bandcamp.com/track/step","","",""
"track","Constratti","Aestas","https://evaporatezf.bandcamp.com/track/aestas","","",""
"track","Misla","Desamor (Nicodemus Remix)","https://evaporatezf.bandcamp.com/track/desamor-nicodemus-remix","","",""
"track","PatHer","Tandavareness","https://evaporatezf.bandcamp.com/track/tandavareness","","",""
"track","Ploy","Ramos","https://ployuk.bandcamp.com/track/ramos","","",""
"track","Bruce","I'm Alright Mate (Asusu Remix)","https://timedance.bandcamp.com/track/im-alright-mate-asusu-remix","","",""
"track","Ploy","Zoom","https://ployuk.bandcamp.com/track/zoom","","",""
"track","Ploy","Footprints In Solid Rock (Beatrice Dillon Remix)","https://ployuk.bandcamp.com/track/footprints-in-solid-rock-beatrice-dillon-remix","","",""
"track","Giant Swan","IFTLOYL","https://giantswan.bandcamp.com/track/iftloyl","","",""
"track","Lurka","Heat Mover","https://lurka.bandcamp.com/track/heat-mover","","",""
"track","Metrist","OB Lopes","https://metristlsae.bandcamp.com/track/ob-lopes","","",""
"track","Metrist","VV Squi","https://metristlsae.bandcamp.com/track/vv-squi","","",""
"track","Nico","Ventana","https://timedance.bandcamp.com/track/ventana","","",""
"track","Metrist","Total Paper","https://timedance.bandcamp.com/track/total-paper","","",""
"track","Akiko Haruna","Die and Retry","https://timedance.bandcamp.com/track/die-and-retry","","",""
"track","Jabes","Ripples","https://jabes.bandcamp.com/track/ripples","","",""
"track","Bruce","Smaller Things","https://wordsofbruce.bandcamp.com/track/smaller-things","","",""
"track","Bruce","Moonsistent","https://wordsofbruce.bandcamp.com/track/moonsistent-2","","",""
"track","Daisy Moon","Meadow Rap","https://daisymoon.bandcamp.com/track/meadow-rap","","",""
"track","Daisy Moon","Eclipse","https://daisymoon.bandcamp.com/track/eclipse","","",""
"track","Various Artists","BADSISTA - Silver Plate","https://timedance.bandcamp.com/track/badsista-silver-plate","","",""
"track","Various Artists","Daisy Moon - In Twilight Anguish","https://timedance.bandcamp.com/track/daisy-moon-in-twilight-anguish","","",""
"track","Various Artists","Yushh & Jurango - Wake Me When It's Over","https://timedance.bandcamp.com/track/yushh-jurango-wake-me-when-its-over","","",""
"track","Various Artists","El irreal Veintiuno - Fisura","https://timedance.bandcamp.com/track/el-irreal-veintiuno-fisura","","",""
"track","Various Artists","Ayesha - Burn","https://timedance.bandcamp.com/track/ayesha-burn","","",""
"track","Save Your Atoll","Pulsazione Vitale","https://furthersessions.bandcamp.com/track/pulsazione-vitale","","",""
"album","GEISTFREI","","https://geistfrei.bandcamp.com/album/with-you-against-silence","","",""
"track","Bidoben","Snakeholes","https://sublunarrecords.bandcamp.com/track/snakeholes","","",""
"track","Bidoben","Calx","https://sublunarrecords.bandcamp.com/track/calx","","",""
"track","Drua","Job2.3","https://punctuality.bandcamp.com/track/job23","","",""
